Player;Team;Position;16/17 Cap Hit;17/18 Cap Hit;16/17 Salary;17/18 Salary;18/19 Salary;19/20 Salary;20/21 Salary
Clutterbuck, Cal;NYI;Right;2.750;3.500;3.500;5.000;4.000;3.500;2.500
Lack, Eddie;CAR;Goaltender;2.750;2.750;2.500;3.000;UFA;;
McQuaid, Adam;BOS;Defence;2.750;2.750;3.000;3.000;2.000;UFA;
Tatar, Tomas;DET;Center;2.750;0.000;2.750;RFA;;;
Smith, Brendan;DET;Defence;2.750;0.000;3.250;UFA;;;
Smith, Brendan;NYR;Defence;2.750;0.000;3.250;UFA;;;
Sobotka, Vladimir;STL;Center;2.725;0.000;2.725;UFA;;;
Lindholm, Elias;CAR;Center;2.700;2.700;2.500;2.900;RFA;;
Niederreiter, Nino;MIN;Right;2.667;0.000;3.500;RFA;;;
Lovejoy, Ben;NJD;Defence;2.667;2.667;2.500;2.750;2.750;UFA;
Iginla, Jarome;LAK;Right;2.667;0.000;5.000;UFA;;;
Iginla, Jarome;COL;Right;2.667;0.000;2.667;;;;
Dorsett, Derek;VAN;Right;2.650;2.650;2.500;2.500;2.500;UFA;
Greening, Colin;TOR;Center;2.650;0.000;3.200;UFA;;;
Greening, Colin;TOR;Center;2.650;0.000;3.200;UFA;;;
Stuart, Mark;WPG;Defence;2.625;2.625;2.700;1.750;UFA;;
Zibanejad, Mika;NYR;Center;2.625;0.000;3.250;RFA;;;
Miller, J.T.;NYR;Center;2.625;2.625;2.500;2.750;RFA;;
Streit, Mark;TBL;Defence;2.625;0.000;2.625;;;;
Hayes, Kevin;NYR;Right;2.600;2.600;2.600;2.600;RFA;;
Vanek, Thomas;DET;Left;2.600;0.000;2.600;UFA;;;
Shattenkirk, Kevin;WAS;Defence;2.592;0.000;5.200;UFA;;;
Orlov, Dmitry;WAS;Defence;2.570;0.000;2.570;RFA;;;
Dumba, Mathew;MIN;Defence;2.550;2.550;2.350;2.750;RFA;;
Greene, Matt;LAK;Defence;2.500;2.500;2.500;2.500;UFA;;
Hansen, Jannik;VAN;Right;2.500;2.500;3.000;3.000;UFA;;
Martin, Matt;TOR;Left;2.500;2.500;3.500;2.500;2.250;1.750;UFA
Elliott, Brian;CGY;Goaltender;2.500;0.000;2.700;UFA;;;
Colborne, Joe;COL;Center;2.500;2.500;2.500;2.500;UFA;;
